@empty_phone|empty_phone|neutral|cooperative
Unmut über Nachfragen|Immer noch eine Frage? Das reicht doch langsam.|Ich will nicht meine ganze Reise erzählen.|Bleiben wir bitte bei dem, was für diese Kontrolle nötig ist.|Dann beschränken wir uns auf den konkreten Fall.
Ärger über Ablenkung|Ich habe wegen der Ansprache den Faden verloren.|Das ärgert mich gerade mehr als die Kontrolle selbst.|Bitte sagen Sie die benötigte Unterlage noch einmal.|Gut, ich suche jetzt gezielt danach.
Barsche Forderung nach Kürze|Machen Sie es kurz.|Ich möchte kein langes Gespräch im Wagen führen.|Eine klare Frage zum Dokument werde ich anhören.|Dann halten wir das weitere Gespräch ebenso knapp.
Beschwerde über Ablauf|Ich halte den Ablauf für unnötig umständlich.|Trotzdem will ich wissen, wie diese Prüfung endet.|Nennen Sie mir bitte die vorgesehenen Möglichkeiten.|Gut, meine Beschwerde und der Kontrollfall bleiben getrennt.
Gereizte Reaktion auf Bitte|Der Ton der ersten Frage hat mich geärgert.|Vielleicht habe ich deshalb zu scharf reagiert.|Wir können jetzt sachlich über die Unterlage sprechen.|Danke, wir haben wieder einen ruhigen Gesprächsweg.
Unfreundliche Abwehr|Ich möchte gerade wirklich nicht reden.|Das heißt noch nicht, dass Sie alles über meine Karte wissen.|Wenn nötig, stellen Sie die konkrete Prüffrage.|Gut, wir entscheiden nach den Belegen und nicht nach meinem Tonfall.
@refusal|refusal|unfriendly|identity_refusal
Unterlage zunächst verweigert|Ich möchte Ihnen meine Unterlage gerade nicht zeigen.|Das ist meine Entscheidung in diesem Moment.|Erklären Sie, welche Folge diese fehlende Mitwirkung im Fall hat.|Gut, ich habe die Hinweise zur weiteren Klärung gehört.
Identitätsangabe abgelehnt|Ich werde bei dieser Aufforderung keine Identität bestätigen.|Ich habe verstanden, welche Angabe Sie dafür verlangen.|Sie können mir den weiteren Ablauf trotzdem erläutern.|Ich habe die Erläuterung zur ausdrücklich verweigerten Mitwirkung verstanden.
Gespräch vollständig abgewiesen|Ich möchte weder suchen noch weiter antworten.|Ihre Bitte um Mitwirkung habe ich gehört.|Nennen Sie die nächsten Schritte ohne weitere Diskussion.|Gut, Ihre sachlichen Hinweise sind bei mir angekommen.
Kontrolle als unnötig bezeichnet|Ich halte eine Prüfung bei mir für unnötig.|Deshalb habe ich den Nachweis bisher zurückgehalten.|Ich höre mir an, was trotzdem konkret geprüft werden muss.|Dann weiß ich, welche Frage weiterhin offen bleibt.
Identitätsfrage wiederholt abgewiesen|Auch nach der Erklärung bestätige ich die verlangte Identität nicht.|Ich verweigere genau diesen Schritt, nicht bloß eine längere Erzählung.|Erklären Sie mir die anschließende Fallbearbeitung.|Gut, die Bedeutung meiner ausdrücklichen Weigerung wurde mir erläutert.
Dokument nicht herausgeholt|Ich lasse die Unterlage in meiner Tasche.|Ich möchte sie auf diese Bitte hin nicht hervorholen.|Sie können den weiteren Ablauf kurz darstellen.|Ich habe gehört, dass der Nachweis dadurch weiterhin fehlt.
Abbruch verlangt|Ich möchte, dass dieses Gespräch jetzt endet.|Die offenen Fragen will ich momentan nicht beantworten.|Sagen Sie noch kurz, welche Schritte dadurch offenbleiben.|Gut, ich habe die offenen Punkte zur Kenntnis genommen.
Auf Prüfung nicht eingelassen|Ich lasse mich auf die vorgeschlagene Prüfung nicht ein.|Die Aufforderung habe ich verstanden.|Welche sachliche Bearbeitung ist jetzt vorgesehen?|Dann kenne ich die erläuterten Möglichkeiten trotz meiner Weigerung.
Identität ohne Alternative verweigert|Ich bestätige keine Identität und biete auch keinen anderen Nachweis an.|Mir ist klar, dass Sie ausdrücklich danach gefragt haben.|Nennen Sie bitte den dafür vorgesehenen nächsten Schritt.|Gut, die weitere Bearbeitung wurde verständlich angekündigt.
Schrittweise Mitwirkung abgelehnt|Auch die einzelne Prüffrage möchte ich nicht beantworten.|Es liegt nicht an der Länge des Gesprächs.|Sie können die Folgen für den konkreten Fall erläutern.|Ich habe die Hinweise zu meiner fehlenden Mitwirkung gehört.
Nachweis absichtlich zurückgehalten|Ich weiß, welche Unterlage Sie sehen möchten.|Ich zeige sie Ihnen trotzdem vorerst nicht.|Bitte erklären Sie die weitere Klärung sachlich.|Gut, mir ist bewusst, dass die Prüfung damit nicht abgeschlossen ist.
Erklärung der Kontrolle zurückgewiesen|Ihre Erklärung ändert meine Haltung gerade nicht.|Ich möchte an dem verlangten Schritt nicht mitwirken.|Nennen Sie noch einmal genau, welcher Schritt offen ist.|Dann ist die offene Anforderung jedenfalls deutlich benannt.
Bestätigung ausdrücklich verweigert|Die verlangte Bestätigung werde ich nicht abgeben.|Das ist eine ausdrückliche Antwort auf Ihre Identitätsfrage.|Sie können mir jetzt die vorgesehenen Folgeschritte nennen.|Gut, die weitere Vorgehensweise wurde angekündigt.
@intoxication|intoxication|friendly|cooperative
Langsam nach Feier suchen|Ich habe etwas getrunken und muss langsamer suchen.|Die Unterlagen sind dabei, aber ich greife gerade dauernd daneben.|Bitte geben Sie mir eine klare Frage nach der anderen.|Danke, mit den kurzen Schritten konnte ich folgen.
Verhaspelte Erklärung|Entschuldigung, ich habe den Satz durcheinandergebracht.|Ich habe getrunken und möchte trotzdem bei der Kontrolle mitmachen.|Ich versuche es noch einmal, diesmal langsam.|Danke, Sie haben den Nachweis und mein Sprechen getrennt behandelt.
Falsche Tasche geöffnet|Das war die falsche Tasche, entschuldigen Sie.|Nach den Getränken bin ich nicht besonders schnell.|Ich setze mich hin und suche dann geordnet.|Gut, im Sitzen bekomme ich die Unterlagen besser zusammen.
Bitte um Wiederholung|Könnten Sie die Frage bitte noch einmal sagen?|Ich habe getrunken und den letzten Teil nicht mitbekommen.|Ich möchte verstehen, was ich konkret zeigen soll.|Danke, jetzt habe ich die Bitte um den Nachweis verstanden.
Ruhig im Sitz bleiben|Ich bleibe lieber sitzen, während ich suche.|Ich habe getrunken und möchte im Gang nicht stolpern.|Reichen Sie mir bitte die Frage in kleinen Schritten weiter.|Gut, wir konnten die Kontrolle ruhig am Platz besprechen.
Dokumente durcheinander|Ich habe gerade zwei Dokumente verwechselt.|Ich habe getrunken; das macht die Suche nicht leichter.|Bitte prüfen Sie das richtige Dokument unabhängig davon.|Danke, wir bleiben bei der tatsächlich gezeigten Unterlage.
Langsame Anzeige öffnen|Meine Finger treffen die Schaltfläche gerade schlecht.|Ich habe etwas getrunken und brauche einen zweiten Versuch.|Ich möchte den Nachweis trotzdem ordentlich öffnen.|Danke, Sie haben mir den nötigen Schritt klar benannt.
Abschweifung bemerkt|Ich erzähle schon wieder viel zu weit außen herum.|Das kommt nach den Getränken gerade durcheinander.|Fragen Sie mich bitte direkt nach der Unterlage.|Gut, jetzt bin ich wieder bei der eigentlichen Kontrolle.
Freundliche Entschuldigung|Entschuldigung, ich spreche etwas undeutlich.|Ich habe getrunken, möchte aber alles Nötige zeigen.|Sagen Sie bitte, welche Anzeige zuerst gebraucht wird.|Danke, die Reihenfolge hat mir geholfen.
Brille sicher ablegen|Ich lege die Brille kurz sicher ab, bevor ich suche.|Ich bin nach den Getränken etwas ungeschickt.|Bitte warten Sie, bis ich die Tasche wieder geschlossen habe.|Gut, jetzt ist alles sicher verstaut und der Ablauf klar.
Hinweis lieber lesen|Ich möchte den Hinweis gern noch einmal lesen.|Nach dem Trinken behalte ich gesprochene Schritte gerade schlecht.|Bitte lassen Sie mir dafür einen kurzen Moment.|Danke, ich konnte den nächsten Schritt nachlesen.
Unruhige Hände|Meine Hände sind gerade nicht besonders ruhig.|Ich habe getrunken und will das Telefon nicht fallen lassen.|Ich lege es zum Öffnen sicher auf meine Tasche.|Gut, wir haben die Anzeige ohne Gedränge am Platz betrachtet.
Dank für klare Ansprache|Danke, dass Sie ruhig fragen.|Ich habe getrunken und brauche eine deutliche Ansprache.|Ich arbeite bei der Prüfung des Dokuments mit.|Gut, die Kontrolle bleibt für mich trotz der langsamen Reaktion verständlich.
@safety_escalation|safety_escalation|impatient|concrete_danger
Gang mit Gepäck blockiert|Ich habe den Koffer mitten in den Gang gestellt.|Sie sagen, dass andere gerade nicht sicher vorbeikommen.|Ich höre Ihre konkrete Aufforderung zum Freimachen.|Gut, mir wurde der sichere Durchgang als nächster Schritt erklärt.
Drängeln im Türbereich|Ich wollte mich eben noch durch den Türbereich drängen.|Sie sprechen mich wegen der unmittelbaren Gefahr dabei an.|Sagen Sie klar, wo ich sicher warten soll.|Gut, der sichere Wartebereich wurde mir benannt.
Schubsen angekündigt|Ich habe gerade gesagt, dass ich jemanden wegschubsen werde.|Sie reagieren auf genau diese Ankündigung.|Ich höre, dass Abstand und eine klare Grenze jetzt nötig sind.|Die Aufforderung, niemanden zu gefährden, habe ich verstanden.
Gegenstand im Gang geschwenkt|Ich habe den langen Gegenstand im Gang bewegt.|Dabei konnte ich andere Personen unmittelbar treffen.|Sagen Sie konkret, wie er sicher abgelegt werden muss.|Gut, die sichere Ablage und der freie Gang wurden erklärt.
Türbereich festgehalten|Ich habe mich im Türbereich festgehalten und den Weg versperrt.|Sie sprechen mich wegen der Gefahr für andere an.|Ich höre mir die Aufforderung zum Zurücktreten an.|Die Aufforderung, den Türbereich sicher freizugeben, ist angekommen.
Aggressives Nachsetzen|Ich bin Ihnen nach dem Zurücktreten weiter dicht gefolgt.|Sie haben mich wegen des fehlenden Sicherheitsabstands angesprochen.|Nennen Sie die Grenze deutlich und sachlich.|Gut, der verlangte Abstand wurde eindeutig benannt.
Werfen eines Gegenstands|Ich habe den Gegenstand gerade in Richtung des Gangs geworfen.|Sie reagieren auf diese konkrete gefährliche Handlung.|Ich höre Ihre Aufforderung, nichts Weiteres zu werfen.|Die Aufforderung zum sofortigen Beenden der Gefahr habe ich verstanden.
Drohung gegen Mitreisende|Ich habe einer anderen Person gerade Gewalt angedroht.|Sie sprechen mich wegen dieser konkreten Drohung an.|Ich höre, dass das Gespräch jetzt eine Sicherheitsfrage ist.|Die Aufforderung, die Bedrohung zu beenden, ist deutlich geworden.
Unsichere Gepäckablage|Das schwere Gepäck ragt ungesichert über die Ablage hinaus.|Sie weisen mich auf die unmittelbare Gefahr beim Herabfallen hin.|Sagen Sie bitte, wie wir den Bereich zunächst sichern.|Gut, die sichere Unterbringung wurde als dringender Schritt erklärt.
Stoßen an der Treppe|Ich habe im Treppenbereich gegen jemanden gestoßen.|Sie reagieren auf die Gefahr eines Sturzes.|Ich höre Ihre Aufforderung, die Treppe freizuhalten.|Die Grenze zum sicheren Verhalten an der Treppe wurde mir erklärt.
Festhalten einer Person|Ich habe nach einer anderen Person gegriffen und sie festgehalten.|Sie sprechen mich wegen dieser konkreten Handlung an.|Ich höre die Aufforderung, die Person loszulassen.|Die Aufforderung, den Übergriff sofort zu beenden, habe ich verstanden.
Notausgang zugestellt|Mein Gepäck steht unmittelbar vor dem markierten Ausgang.|Sie weisen mich auf den versperrten Fluchtweg hin.|Nennen Sie bitte einen sicheren Platz für die Sachen.|Gut, der freie Ausgang und die sichere Ablage wurden erklärt.
Wiederholtes Anrempeln|Ich habe Sie nach der ersten Aufforderung erneut angerempelt.|Sie reagieren auf diese erneute körperliche Gefährdung.|Ich höre, dass nun ein klarer Sicherheitsabstand erforderlich ist.|Die Aufforderung, weitere Berührungen zu unterlassen, ist angekommen.
